요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차빙수,"잎녹차 또는 가루녹차, 팥 적당량, 아이스크림 1스쿱(바닐라 또는 녹차)","과일(키위, 체리 등)","① 얼린 녹차물을 믹서기에 갈아준다. ② 그릇에 소량의 팥을 먼저 담고, 그 위에 녹차얼음 간 것을 넣고 과일을 올려준다. ③ 기호에 따라 아이스크림과 녹차가루를 첨가해준다.",,2022-10-30
녹차샌드,"박력분 150g, 계란 ⅓개(20g), 버터 65g","코코아가루 2Ts, 크림치즈푸로스팅(크림치즈 50g, 버터 50g, 녹차가루 ½ts, 슈가파우더 40g)","① 버터를 부드럽게 풀어준 다음 설탕을 넣어준다. ② 계란을 넣어 잘 섞어준다. ③ 밀가루와 코코아가루를 체 쳐서 넣어준다. ④ 잘 섞어준 다음 냉장실에서 30분간 휴지시켜준다. ⑤ 반죽을 휴지할 동안 샌드할 크림치즈 푸로스팅을 만들어준다. ⑥ 실온에 둔 크림치즈와 버터, 슈가파우더, 녹차가루를 넣어 크림상태가 되게 섞어준다. ⑦ 반죽을 비닐 팩 안에 넣고 밀어주면 붙지 않고 잘 밀어진다. ⑧ 틀에 밀가루를 묻힌 뒤 찍어준다. ⑨ 팬에 담고 윗면을 틀로 살짝 찍어 모양을 내준다. ⑩ 180℃에서 10분 구운 뒤 크림치즈를 샌드해준다.",TIP: 크림치즈 푸로스팅을 냉장고에서 살짝 굳히면 샌드하기가 좋다.,2022-10-30
녹차샤브레,"박력분 320g, 슈가파우더 100g, 가루녹차 2큰술, 버터(냉장) 140g, 달걀 1개","슬라이스아몬드 50g, 설탕 2큰술, 바닐라향 약간","① 박력분 220g, 슈가파우더 70g, 녹차가루는 각각 체에 한번 내려 준비해준다. ② 버터는 가로, 세로 2cm 크기의 주사위 모양으로 썰어준다. ③ 박력분에 버터 썬 것 100g을 넣고 으깬 다음 손바닥으로 비벼서 보슬보슬하게 만든 후 슈가파우더, 녹차가루, 바닐라향을 넣고 섞어준다. ④ 아몬드 녹차쿠키가루가 보슬보슬해지면 달걀을 깨뜨려 넣고 슬라이스 아몬드를 섞어 덩어리로 뭉쳐서 지름 6cm 정도의 밀대 모양으로 만들어 랩에 싸서 냉장고에 넣어 1시간 정도 굳혀준다. ⑤ 트위스트 녹차쿠키: 완성된 녹차반죽과 남은 박력분 100g,  슈가파우더 30g, 버터 40g을 같은 방식으로 반죽해 준비한 다음 각각 0.5mm 두께로 밀어 함께 말아 트위스터 모양을 만든 뒤 랩에 싸서 냉장고에 넣어 1시간 정도 굳혀준다. ⑥ 오븐을 150℃로 예열한 후 쿠키 반죽이 굳으면 7mm 두께로 썰어 한 면에 설탕을 묻혀서 오븐에 넣어 20분 정도 구워준다. ⑦ 오븐에서 꺼내 완전히 식혀준다.",TIP: 쿠키 반죽을 썰 때에는 칼로 자르는 것보다 낚싯줄이나 치실을 이용하면 매끄러운 면을 만들기에 좋다.,2022-10-30
녹차순두부수제비,"순두부 1봉지, 수제비반죽(중력분 2컵, 가루녹차 1큰술, 물 1과1/4컵, 식용유 2큰술, 소금 약간)","감자 1개, 달걀 1개, 당근 50g, 애호박 50g, 팽이버섯 ½봉지, 소금 약간, 후춧가루 약간, 멸치국물(국물용멸치 10마리, 다시마 1장, 마늘 3쪽, 대파 ½대, 청주 1큰술, 국간장 1큰술, 물 7컵)","① 냄비에 멸치를 볶다가 찬물을 부어 다시마와 마늘, 대파를 넣고 끓여준다. 중불에서 10분가량 끓인 뒤 불을 끄고 다시마는 건져준다. ② 중력분에 소금과 가루녹차를 넣고 체에 내린 다음 물을 넣고 반죽하다가 식용유를 넣고 다시 반죽해준다. 완성된 반죽은 랩을 씌워 30분 가량 휴지시켜준다. ③ 육수는 체에 밭쳐 국물만 거른 뒤 국간장과 청주를 넣어 맛을 준다. ④ 감자는 반달 모양으로 썰고 당근과 애호박은 채썰어준다. 팽이버섯은 밑동을 잘라 준비해둔다. ⑤ 냄비에 국물을 끓이면서 감자를 먼저 넣고 수제비 반죽을 얇게 손으로 떠 넣어준다. ⑥ 수제비가 익기 시작하면 준비해둔 야채와 순두부를 넣어준다. ⑦ 마지막으로 달걀을 풀어 넣고, 소금과 후춧가루로 간을 맞춰준다.",밀가루와 가루녹차는 체에 쳐서 곱게 가루를 내어 식용유를 넣고 반죽하면 더욱 차진 맛을 낼 수 있다.,2022-10-30
녹차스무디,"플레인요거트 100g짜리 1통, 바나나 1개(110g), 소아다원 유기농녹차가루 2g","물 5g, 우유 15g, 꿀이나 물엿 약간","① 녹차는 그냥 넣게되면 잘 풀리지 않을 수 있으니 약간의 뜨거운물에 각각 가루들을 타둔다. ② 블렌더에 바나나, 요거트, 녹차 타준 것, 우유, 꿀을 넣고 갈아준다.",,2022-10-30
녹차스콘,"박력분 295g, 녹차가루 5g","설탕 30g, 소금 3g, 베이킹파우더 2g, 버터 60g, 우유 100ml, 계란 1개","① 박력분, 설탕, 소금, 베이킹파우더를 섞어서 체 쳐서 준비해놓고 냉장고에서 꺼낸 차가운 버터를 넣고 스크래퍼로 다져가며 소보로 형태로 만들어준다. ② 우유와 계란을 한 데 넣고 섞어 반죽에 넣어준다. ③ 녹차랑 잘 어울리는 크랜베리나 포피시드나 호두 등 취향에 맞는 재료를 넣어준다. ④ 냉장고에서 30분간 휴지를 시켜준다. ⑤ 휴지가 끝난 반죽을 밀대로 밀고 모양틀로 찍어준다. ⑥ 오븐팬에 적당한 간격을 두고 팬닝을 해준다. ⑦ 윗면에 노른자물이나 우유를 발라준다. ⑧ 190℃에서 15~20분간 구워준다.",오븐에 따라 조금씩 차이가 있다.,2022-10-30
녹차양갱,"가루녹차 1작은술, 한천 10g","설탕 ½컵, 소금 ½작은술, 물 2컵, 다진호두 20g",① 한천은 따뜻한물에 10분 가량 불려준다. ② 가루녹차는 뜨거운물 ½컵을 붓고 멍울 없이 풀어 고운 체에 밭쳐준다. ③ 불린 한천에 물 1.5컵을 붓고 중불에 저어가며 끓여준다. ④ 한천이 다 풀릴 때까지 끓이면서 거품이나 불순물 등은 걷어내고 설탕과 소금을 넣어 맛을 준다. ⑤ 끓인 한천에 개어놓은 녹찻물을 넣고 더 끓여준다. ⑥ 모양틀에 다진 호두를 넣고 ⑤의 한천녹차를 부어 냉장고에서 탄탄하게 굳혀준다.,한천은 따뜻한물에 멍울 없이 충분히 개어준다. 그래야만 나중에 완성했을 때 투명하고 매끄러운 양갱을 만들 수 있다.,2022-10-30
녹차영양인삼밥,"쌀 1과½컵, 녹차잎 2큰술, 인삼 2뿌리","물 1과½컵, 들기름 1작은술","① 쌀은 밥짓기 1시간 전에 씻어 체에 밭쳐 충분하게 불려준다.  ② 볼에 녹차잎을 넣고 물 1컵을 부어서 진하게 색이 우러나도록 둔다.  ③ 녹차 우린 물은 밥을 지을 때 사용하고, 우려낸 녹차잎은 건져 물기를 뺀 상태에서 들기름과 맛소금을 넣어 달달 볶아준다.   ④ 송송 썬 실파에 구운 김을 아주 잘게 부숴 넣고 간장과 다시마 우린 물, 고운 고춧가루, 마늘, 맛술, 물엿, 후춧가루를 넣고 잘 섞어 양념장을 만들어준다.   ⑤ 냄비에 쌀을 넣고 녹차 우린 물과 물 ½컵을 부은 다음 어슷하게 채썬 인삼을 위에 올려 밥을 짓는다.   ⑥ 밥물이 끓으면 잘 섞은 뒤에 뜸을 들여 고슬하고 윤기 흐르는 녹차영양인삼밥을 만들어준다.   ⑦ 충분하게 뜸을 들이면 그릇에 녹차영양인삼밥을 적당히 담고 볶아준 녹차잎을 소복이 올려서 양념장과 함께 상에 준다.",TIP : 생기와 활력을 주는 에너지 푸드 녹차에는 항산화작용을 하는 성분이 많이 함유되어 있어 노화를 억제하는 효과가 있다. 또 찻잎에는 일반 음식물에서는 결핍되기 쉬운 광물질과 유기물이 풍부하게 들어 있어 피부가 거칠어지는 것을 막고 에너지를 생성시키는 역할을 한다. 인삼은 활력을 주는 대표적인 식품으로 자양강장 효과를 볼 수 있다.,2022-10-30
녹차정,"녹차잎 20g, 조청 100ml",청주 500ml,① 녹차는 흐르는 물에 빠른 시간에 헹구어 준 뒤 물기를 마른 행주로 제거해준다. ② 준비된 녹차를 세척된 병에 넣고 청주를 부어준다. ③ 청주를 부어준 뒤 3~4시간 뒤에 조청을 넣어준다. ④ 청주를 부어준 뒤 하루에 한번 정도 거꾸로 보관해준다.,"④의 과정을 5번 정도 해준 후 냉장고 보관한다. 하루 정도 지나면 위에 떠오른 녹차가 밑으로 가라앉게 된다. 7일 후부터 생선요리, 샐러드, 조림에 응용하면 좋고 피곤할 때 냉수에 한수저씩 첨가해 먹어도 좋다.",2022-10-30
녹차주먹밥,"녹차 ½큰술, 밥 2/3공기, 다진당근 1큰술, 다진햄 1큰술","생수 1컵, 참기름 1작은술, 통깨 약간, 올리브오일 2작은술, 소금 약간","① 녹차는 끓여서 80℃로 식힌 물을 부어 우린 후 녹차잎을 건져 잘게 다진 후 참기름과 통깨로 버무려준다. ② 달군 팬에 올리브오일을 두르고 다진 당근과 햄을 넣어 볶다가 소금으로 약하게 간 해준다. ③ 볶은 밥을 한입에 먹기 좋은 크기로 동그랗게 뭉친 후, 가운데 오목하게 누른 다음 양념한 녹차잎을 약간씩 덜어 박아준다.",햄 대신 쇠고기나 닭고기 등으로 바꿔 요리해도 된다.,2022-10-30
녹차쿠키,"박력분 150g, 버터 90g, 달걀 1개, 녹차가루 10g","슈가파우더 75g, 클로렐라가루 5g","① 실온의 버터를 핸드믹서로 풀어준 뒤, 슈가파우더를 넣고 핸드믹서 해준다. ② 계란 1개를 넣고 핸드믹서 해준다. ③ 체 친 가루류(박력분, 녹차가루)를 넣고 주걱으로 잘 섞어준다. ④ 짤주머니에 반죽을 넣어 유산지 깐 오븐팬에 링모양으로 짜준다. ⑤ 190℃로 예열된 오븐에서 15~20분 가량 구워준다.",색을 보며 구워준다.,2022-10-30
녹차푸딩,"노른자 6개, 우유 600g, 녹차가루 1Ts, 분말젤라틴 2Ts, 물 3Ts",카라멜층(설탕 100g+물 50g),①  설탕 100g과 물을 끓여준다. 젓지 말고 가만히 끓이다가 연한 카라멜색이 나면 불을 끄고 푸딩 그릇에 부어준다. ② 노른자와 녹차 설탕을 넣고 섞어준다. 여기에 데운 우유를 조금씩 부어가면서 섞어준다. ③ ②를 체에 거른 다음 끓여서 농도가 생기면 더이상 끓이지 말고 불을 꺼준다. ④ ③에 물과 가루 젤라틴을 넣고 섞은 것을 넣고 섞어준다. ⑤ ①(카라멜층을 부어놓은 틀)에 푸딩액을 다시 한번 체에 걸러서 붓고 냉장고에서 하룻밤 굳혀준다.,위에 달달한 통팥을 토핑으로 올려 먹으면 보기에도 좋고 더욱 맛있다.,2022-10-30
녹차현미죽,"현미찹쌀 2컵, 녹차가루 1큰술, 녹차잎 1큰술","바지락살 200g, 물 10컵, 소금&참기름 약간씩",① 바지락살은 옅은 소금물에 흔들어 씻어 물기를 빼준다. ② 녹차잎은 뜨거운물 2컵을 부어 우려준다. ③ 현미찹쌀은 깨끗하게 씻은 다음 30분 정도 불려준다. 이것을 냄비에 넣고 녹차 우린 물과 나머지 물을 부어 처음에는 센불에서 끓이다가 중약불로 줄여서 은근하게 끓여 죽을 쒀준다. ④ ③의 끓인죽이 퍼지면서 농도가 나면 바지락살과 녹차가루를 넣어준다. ⑤ 먹기 직전에 소금과 참기름을 넣어 간을 맞춰준다.,,2022-10-30
멸치 완자찜,"차페이스트 2큰술, 고급차 3큰술, 멸치 250g, 어묵 200g","계란 1개, 녹말가루 3큰술, 저민생강 2큰술, 소금 1작은술, 녹차 2큰술","① 고급차로 5컵 정도의 차를 우려준다. ② 멸치는 머리를 떼어내고 내장을 엽차로 씻어 살만 골라 절구로 찧어둔다. ③ ②에 계란, 녹말가루, 저민생각, 소금을 더해 다시 찧어준다. ④ ③에 차페이스트를 혼합해 12개 정도로 나누어둔다. ⑤ ①의 차에 물을 우리고 펄펄 끓고있는 용기 안으로 ④를 수저로 퍼서 넣어준다. 떠오르면 1~2분 있다가 국자 등으로 퍼준다. <시판묵 어묵을 이용할 경우> ① 어묵은 절구나 푸드프로세서 등으로 다져준다. 이 안에 건조해 있는 녹차를 2큰술 넣어 가볍게 섞어 찧어준다. ② 펄펄 끓고 있는 물 속에 ①을 데쳐준다.",,2022-10-30
미역&녹차자반,"마른미역(실미역) 30g, 마른녹차잎 한큰술","식용유, 설탕, 통깨","① 팬에 기름을 3큰술 정도를 넣고 달아 오르면 미역을 넣고 재빨리 볶아준다. ② 불을 끄고 설탕, 통깨, 녹차잎을 넣고 잘 섞어준다.",,2022-10-30
쇠고기 녹차 찹쌀구이,"쇠고기(안심얇게썬것) 200g, 녹차가루 1큰술(5g), 찹쌀가루 ½컵","새송이버섯 2개(200g), 대파 2대(200g), 깻잎 5장(10g), 붉은고추 1개(14g), 무순 약간, 소금 약간, 후춧가루 약간, 참기름 약간, 소스(간장 1작은술, 설탕 ½큰술, 다진마늘 ½큰술, 식초 1큰술, 연겨자 1큰술, 참기름 1작은술, 양파즙 1큰술, 배즙 1큰술, 파인주스 1큰술, 소금 약간)","① 쇠고기는 직경 7cm로 자른 다음 잔칼집을 넣어 고기가 오그라들지 않게 한 후 소금, 후춧가루, 참기름으로 양념해준다. ② 양념한 쇠고기는 녹차가루와 찹쌀가루를 섞어 앞뒤로 묻히고 가볍게 털어준다. ③ 새송이버섯은 7cm 길이로 잘라 채를 썬 다음 살짝 볶아 소금, 후춧가루로 간 해준다. ④ 대파는 흰 부분으로 준비하여 7cm 길이로 곱게 채썰어 준비해준다. ⑤ 깻잎과 홍고추도 깨끗이 손질하여 곱게 7cm 길이로 채썰어준다. ⑥ 무순은 깨끗이 손질하여 물기를 빼준다. ⑦ 녹차와 찹쌀을 입힌 고기를 팬에서 구워준다. ⑧ 익힌 고기가 식기 전에 준비한 재료를 고기 위에 놓고 돌돌 말아준다. ⑨ 분량의 재료를 모두 섞어 소스를 만들어준다. ⑩ 접시에 고기를 보기 좋게 돌려 담고 소스를 곁들여준다.",,2022-10-30
아이스크림,"녹차가루 10g, 우유 300g, 생크림 100g","달걀노른자 4개, 설탕 90g",① 우유와 생크림을 냄비에 넣고 살짝 데운 후 냉장고에 넣고 차갑게 식혀준다. ② 계란 노른자에 녹차가루와 설탕을 넣고 잘 섞어준다. ③ 잘 섞어준 계란 노른자에 냉장고에 넣고 식혀둔 우유+생크림을 부어준다. ④ 다 섞은 재료를 통에 부은 후 냉동실에 넣고 2시간 간격으로 저어주며 잘 굳게 해준다.,TIP : 와플에 녹차아이스크림을 곁들여 먹으면 맛있다.,2022-10-30
잎차밥,"녹차 2큰술, 쌀 2컵","물 2와1/4컵, 술 2큰술, 소금 ½작은술","① 쌀은 밥짓기 30분 전에 씻어 소쿠리에 건져둔다. ② 녹차는 물을 가득 채워서 잘 우려둔다. ③ ①의 쌀에 정한 분량의 물, 술, 소금을 더해서 밥을 짓는다. ④ ②의 녹차는 수분과 우린 찻잎으로 구분하고 우린 찻잎은 잘 짜서 잘게 썰어둔다. ⑤ ③의 다 지어진 밥에 ④의 잘게 썬 녹차를 잘 섞어 넣어준다.",4인분 기준,2022-10-30
차 볶음밥,"밥 250g, 녹차 50g","샐러드유 1큰술, 소금 2/3작은술, 버터 ½큰술",① 차를 물에 우려내어 잘 짜준다. ② ①을 잘게 자르고 버터로 볶아둔다. ③ 샐러드유로 정한 분량의 밥을 잘 풀면서 볶아준다. ④ ③이 다 볶아지면 ②를 넣어 소금으로 간을 맞추면서 잘 섞어 볶아준다.,기호에 따라 깨를 넣는 것도 좋다. 후추는 쓴맛이 더 난다. 차를 우릴 때 10g의 잎차를 50cc물로 우리면 된다. 차찌꺼기를 사용해도 좋다. 볶은 햄이나 계란을 넣는 것도 좋다.,2022-10-30
차 소시지,"녹차 2큰술, 돼지고기간것 500g","물 1컵, 설탕 1큰술, 술 1작은술, 소금 1과⅓작은술, 산초 약간, 찧은마을 1큰술","① 녹차는 정한 분량의 물에 우려내고 우린 잎차와 우린 차즙으로 나누어둔다. ② 우린 잎차는 잘게 썰어둔다. ③ 간고기에 소금, 후추, 술, 설탕, 찧은 마늘 ①에서 나눈 차즙을 넣어 절구 또는 스피드커터로 끈적끈적해질 때까지 잘 찧어준다. ④ 끈기가 충분히 나오면 ②의 차를 더해 골고루 반죽해준다. ⑤ 김발에 랩 또는 호일을 깔아 김말이를 하는 요령으로 ④의 속을 랩에 싸서 취향에 맞는 굵기로 말아준다. 모양을 비엔나처럼 만들어 양쪽끝을 고무링으로 묶어준다. ⑥ 70∼80℃의 물에 15∼20분 데쳐준다.","차가 식물섬유, 카로틴, 비타민 C, E를 보충한다. 차의 항산화작용에 의해 고기의 산화가 억제된다.",2022-10-30
차 양념소금,"녹차 55g, 맛소금 20g","볶은깨 20g, 산초 ⅓작은술, 고춧가루 1/4작은술",<만드는법1> ① 재료를 한꺼번에 전부 믹서기에 넣어 가루로 만들어준다. <만드는법2> ① 절구로 깨를 가볍게 찧어둔다. ② ①을 포함 모든 재료를 믹서기에 넣고 가루를 만들어준다.,<만드는법1> 깨 알갱이가 남지만 쉽게 변질하지는 않는다. <만드는법2> 약 100g 한컵 분량이 된다. 사용하기에 따라 알갱이 굵기를 바꿔도 된다. 산초 대신에 유카리 등을 이용하는 것이 좋다. 유카리의 경우는 45g 정도로 한다. 소금은 유카리에 따라 조절한다.,2022-10-30
차 오믈렛,"녹차 2큰술, 계란 4개, 우유 120cc","된장 100g(신선한것), 소금 약간, 후추 약간, 샐러드오일, 소스, 무즙, 간장, 기타 기호에 따라 케첩, 소스, 겨자, 간장 등","① 녹차는 우려내고 잎과 차로 구분해둔다. ② 계란은 한개씩 따로따로 풀어둔다. ③ 된장 ½포장(15g)에 차를 한큰술, 우유 두잔을 혼합해 여기에 ②의 계란을 섞어 소금, 후추로 약간 간을 해둔다. ④ ① 의 잎차는 잘게 썰어둔다. ⑤ 프라이팬을 달구어 샐러드유를 잘 두르고 ③을 흘려넣고 단단해지면 ④의 잎차를 1큰술 수북하게 넣어 젓가락으로 휘저어 섞고 한 데 모아 오믈렛풍으로 완성해준다.",무즙 등을 첨가한다.,2022-10-30
차 장국,"차생엽 20매, 녹차 2큰술반","다시마차 8g(또는 물 300cc,다시 300cc, 소금 1작은술), 밀기울1cm두께 4등분, 죽순 4조각","① 생엽은 소금 한소끔을 넣어 뜨거운물에 살짝 데쳐서 냉수에 담가 식혀둔다. ② 죽순은 한입 크기로 잘라 밑간을 살짝 해둔다. 밀기울은 잘라둔다. ③ 녹차는 300cc 뜨거운물로 우려준다. 다시마차도 300cc 뜨거운물에 녹여둔다. ④ 국그릇에 밀기울, 햇차잎을 띄워 장식해준다. 여기에 ③에서 준비한 녹차와 다시마차를 합친 국물을 천천히 부어준다. [다시마차를 이용하지 않을 경우] ① 녹차는 60∼70℃의 물 300cc로 3∼4분간 느긋하게 우려준다. ② 맑은 장국은 다시마, 표고버섯, 가다랑어포 등으로 다시를 만들어준다.  ③ ①, ②를 합쳐 맛을 준다.","국거리는 표고버섯 등의 버섯류, 토란, 구운 가지, 밀기울, 오징어, 김, 모찌 등, 띄울 건더기는 차잎, 산초가루 등 취향에 따라 선택한다.",2022-10-30
차 치즈,"녹차 50g, 크림치즈 100g","생크림 30~40cc, 젤라틴가루 2g, 물 1큰술, 깨 1~2큰술, 설탕 2작은술, 맛소금 1작은술","① 녹차를 잘 우려내서 압력솥에 부드럽게 찌고 차를 걸죽하게 음식으로 해둔다. ② 젤라틴은 정한 분량의 물로 축여서 더운 물을 끼얹어 녹여둔다. ③ 볼에 크림치즈를 넣어 고무주걱으로 크림 형상이 될 때까지 잘 반죽해준다. ④ ③에 설탕, 생크림, 깨, 소금을 순서대로 넣어 잘 섞어 반죽하고 거기에 ①의 차페이스트를 넣고 고루고루 잘 섞어준다. ⑤ ④에다 ②의 녹인 젤라틴을 넣고 손빠르게 잘 섞어준다. ⑥ 적당한 모양의 틀상자에 기름을 발라 닦아내고 ⑤를 흘려넣고 냉장고로 옮겨 차게 굳혀준다.",차는 풍미를 좌우하지 않기 때문에 차찌꺼기로 만들어도 된다. 말차를 넣으면 녹색이 선명하게 된다.,2022-10-30
차 크림스프,"잎차 6~9g, 밀가루 1큰술반, 버터 1큰술반, 고형스프 1개","물 2컵, 양파중 ½, 소금 약간, 우유 2컵반, 생크림 2큰술, 샐러드유 약간","① 잎차를 정한 분량의 물로 충분히 우려둔다. ② 양파는 엷게 썰어 샐러드유로 볶아둔다. ③ 밀가루를 버터에 눌지 않도록 볶아둔다. ④ ①을 잎차, 물과 함께 믹서기에 돌려준다. ⑤ ④에 ②와③도 넣어 믹서기에 돌려준다. ⑥ ⑤를 냄비로 옮겨서 우유, 고형스프를 넣고 약한 불에서 충분할 정도로 졸여준다. ⑦ 소금으로 간을 보고 생크림을 넣어 섞어준다.",스프에 띄우는 건더기로는 말린 살구를 엷게 저민 것이나 스프에 띄우는 빵조각 튀김 등 취향에 맞는 것을 넣어준다.,2022-10-30
차밥,"쌀 2컵, 진하게우린찻물 2와⅓컵(덖음차 12g)",소금 ½작은술,① 쌀은 밥짓기 30분 전에 씻어 소쿠리에 건져둔다. ② 덖음차를 진하게 우려준다. ③ 정한 분량의 덖음차와 소금을 넣어 밥을 지어준다.,4인분 기준,2022-10-30
찻잎 두부 케첩조림,"두부 150g, 우려마신찻잎 30g","쇠고기 50g, 간장 2큰술, 조림장(토마토케첩 3큰술, 물엿 1큰술, 설탕 1큰술, 후춧가루 약간)","① 두부는 사방 2cm 크기로 깍둑썰기를 하여 팬에 식용유를 두르고 노릇하게 지져준다. ② 쇠고기는 잘게 채썰어 고기 양념으로 볶아준다. ③ 우려 마신 찻잎은 한 번 헹궈내고 팬에 식용유를 두르고 볶아준다. ④ 조림 냄비에 간장, 토마토케첩, 물엿, 설탕, 후춧가루를 넣고 끓이다가 두부와 쇠고기, 찻잎을 넣고 물기 없이 바짝 조려준다.",,2022-10-30
찻잎 멸치조림,"멸치 50g, 찻잎 50g","참기름, 깨소금 1과½큰술, 부추 20g, 붉은고추 1개, 대추 3개, 조림장(간장 1큰술, 물엿 1큰술, 고추장 1큰술, 통깨 1큰술, 설탕 ½큰술, 마늘 2쪽)","① 물에 불린 찻잎은 물기를 꼭 짜서 참기름과 깨소금으로 무쳐준다．  ② 팬에 기름을 두르고 멸치를 볶아준다．  ③ 부추는 2cm 길이로 송송 썰고，붉은 고추는 잘게 다져준다．대추는 씨를 뺀 뒤 채썰어준다． ④ 냄비에 간장과 물엿, 고추장, 설탕, 마늘을 넣고 양념이 고루 섞이도록 끓여서 식힌 다음 멸치 볶은 것과 찻잎, 나머지 재료를 모두 넣고 살짝 조려준다.",,2022-10-30
세작 (HOT),세작 2g, 225ml 뜨거운물 / (Take Out) 280ml 뜨거운물,① 뜨거운 물 225ml에 2g을 2분 동안 우려준다.,,2022-10-30
세작 (ICED),세작 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 2분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
우전 (HOT),우전 3g,(다기) 225ml 뜨거운물 / (Take Out) 280ml 뜨거운물,① 뜨거운 물 225ml에 3g을 2분 동안 우려준다.,,2022-10-30
우전 (ICED),우전 5g ,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 2분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
레몬그라스 그린티 (HOT),레몬그라스 그린티 2g,280ml 뜨거운물,① 뜨거운 물 280ml에 2g을 3분 동안 우려준다.,,2022-10-30
레몬그라스 그린티 (ICED),레몬그라스 그린티 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성홍차 (HOT),보성홍차 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성홍차 (ICED),보성홍차 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성홍차&사과 (HOT),보성홍차&사과 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성홍차&사과 (ICED),보성홍차&사과 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성녹차&다즐링 (HOT),보성녹차&다즐링 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성녹차&다즐링 (ICED),보성녹차&다즐링 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성녹차&돼지감자 (HOT),보성녹차&돼지감자 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성녹차&돼지감자 (ICED),보성녹차&돼지감자 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성홍차&아쌈 (HOT),보성홍차&아쌈 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성홍차&아쌈 (ICED),보성홍차&아쌈 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
보성홍차&루이보스 (HOT),보성홍차&루이보스 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
보성홍차&루이보스 (ICED),보성홍차&루이보스 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
레몬그라스&진저 (HOT),레몬그라스&진저 3g,280ml 뜨거운물,① 뜨거운 물 280ml에 3g을 3분 동안 우려준다.,,2022-10-30
레몬그라스&진저 (ICED),레몬그라스&진저 5g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 5g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
유기농루이보스(HOT),유기농루이보스 2g,280ml 뜨거운물,① 뜨거운 물 280ml에 2g을 3분 동안 우려준다.,,2022-10-30
유기농루이보스 (ICED),유기농루이보스 4g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 4g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
로얄 캐모마일 (HOT),로얄 캐모마일 2g,280ml 뜨거운물,① 뜨거운 물 280ml에 2g을 3분 동안 우려준다.,,2022-10-30
로얄 캐모마일 (ICED),로얄 캐모마일 4g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 4g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
페퍼민트 (HOT),페퍼민트 2g,280ml 뜨거운물,① 뜨거운 물 280ml에 2g을 3분 동안 우려준다.,,2022-10-30
페퍼민트 (ICED),페퍼민트 4g,"150ml 뜨거운물, 얼음 10",① 뜨거운 물 150ml에 4g을 3분 30초 동안 우려준다. ② 얼음 10개를 넣어준다.,,2022-10-30
오미자레몬 (HOT),오미자원액 50ml(5펌프),"생레몬 1조각, 시럽 한스푼, 250ml 뜨거운물","① 오미자원액 50ml(5펌프), 생레몬 1조각, 시럽 1스푼을 컵에 담고 250ml의 뜨거운 물을 따라준다.",,2022-10-30
